"texto","categoria"
"Asunto: Reconocimiento académico. La Institución Universitaria Pascual Bravo le reconoce como estudiante destacado del periodo 2025-2 por su excelente rendimiento.","logro"
"Asunto: Lectura obligatoria Resistencia de Materiales. Para la próxima clase de Resistencia de Materiales con el profesor Ana Maria Gómez, deben haber leído el capítulo 3 sobre recursividad. Habrá control de lectura.","tarea"
"Asunto: Recordatorio entrega Programación II. Recuerda que la entrega del taller 3 de Programación II vence este lunes. Sube tu trabajo en el portal estudiantil antes de las 11:59 PM. Atentamente, Oscar Mauricio Ramírez.","tarea"
"Asunto: Lectura obligatoria Estructuras de Datos. Para la próxima clase de Estructuras de Datos con el profesor Sandra Milena López, deben haber leído el capítulo 1 sobre fluidos. Habrá control de lectura.","tarea"
"Asunto: Parcial 2 Sistemas de Potencia. El segundo parcial de Sistemas de Potencia será el miércoles 6 de diciembre. Temas: termodinámica. Llevar calculadora y documento de identidad.","tarea"
"Asunto: Reconocimiento académico. La Institución Universitaria Pascual Bravo le reconoce como estudiante destacado del periodo 2026-1 por su excelente rendimiento.","logro"
"Asunto: Cambio de modalidad clases. Las clases de Electrónica Digital pasan a modalidad virtual a partir del 21 de junio hasta nuevo aviso.","anuncio"
"Asunto: Nueva tarea en SICAU - Sistemas de Potencia. Apreciado estudiante, el docente Catalina Ospina ha publicado una nueva actividad para la materia Sistemas de Potencia. Fecha límite de entrega: viernes 23 de enero. Por favor revisar la guía adjunta.","tarea"
"Asunto: Recolección de firmas. Se está recolectando firmas para una propuesta estudiantil sobre alimentación saludable. Apoye en la oficina del consejo estudiantil.","otro"
"Asunto: Activación cuenta egresados. Estimado próximo egresado, active su cuenta de egresado para acceder a beneficios exclusivos.","otro"
"Asunto: Foro académico mecatrónica. La facultad de ingenierías organiza foro académico sobre mecatrónica. Participación de docentes y estudiantes invitados.","evento"
"Asunto: Reconocimiento académico. La Institución Universitaria Pascual Bravo le reconoce como estudiante destacado del periodo 2026-1 por su excelente rendimiento.","logro"
"Asunto: Aviso importante - Pagos. Recordatorio: el plazo para el pago de matrícula del periodo 2027-1 vence el 9 de septiembre.","anuncio"
"Asunto: Quiz programado Modelado 3D. Recordatorio: el próximo jueves se realizará el quiz 2 de Modelado 3D. Temas a evaluar: POO. Material de apoyo disponible en Microsoft Teams.","tarea"
"Asunto: Actualización datos personales. Le solicitamos actualizar sus datos personales en SICAU. Es requisito para continuar el proceso académico del próximo semestre.","otro"
"Asunto: Paro académico. Se informa a la comunidad estudiantil que se ha decretado paro académico por día festivo. Las clases se reanudarán el 10 de agosto.","anuncio"
"Asunto: Torneo deportivo interfacultades. Inscripciones abiertas para el torneo deportivo interfacultades en disciplinas como fútbol, voleibol y tenis de mesa.","evento"
"Asunto: Práctica de laboratorio Electrónica Digital. Estudiantes, para la próxima sesión de Electrónica Digital deben traer el preinforme de la práctica 6 sobre redes neuronales. Sin preinforme no se permite el ingreso al laboratorio.","tarea"
